net,connection_count,connections
UART_RS-LLEG_RX,2,03_compute_motion_watchdog.kicad_sch:MCU_IO_RS_LLEG:LOG-RS-LLEG-RX | 04_eight_actuator_bus_interfaces.kicad_sch:IF_RS_LLEG:LOG-RX
UART_RS-LLEG_TX,2,03_compute_motion_watchdog.kicad_sch:MCU_IO_RS_LLEG:LOG-RS-LLEG-TX | 04_eight_actuator_bus_interfaces.kicad_sch:IF_RS_LLEG:LOG-TX
UART_RS-RARM_DIR,2,03_compute_motion_watchdog.kicad_sch:MCU_IO_RS_RARM:LOG-RS-RARM-DIR | 04_eight_actuator_bus_interfaces.kicad_sch:IF_RS_RARM:LOG-DIR
UART_RS-RARM_RX,2,03_compute_motion_watchdog.kicad_sch:MCU_IO_RS_RARM:LOG-RS-RARM-RX | 04_eight_actuator_bus_interfaces.kicad_sch:IF_RS_RARM:LOG-RX
UART_RS-RARM_TX,2,03_compute_motion_watchdog.kicad_sch:MCU_IO_RS_RARM:LOG-RS-RARM-TX | 04_eight_actuator_bus_interfaces.kicad_sch:IF_RS_RARM:LOG-TX
UART_RS-RLEG_DIR,2,03_compute_motion_watchdog.kicad_sch:MCU_IO_RS_RLEG:LOG-RS-RLEG-DIR | 04_eight_actuator_bus_interfaces.kicad_sch:IF_RS_RLEG:LOG-DIR
UART_RS-RLEG_RX,2,03_compute_motion_watchdog.kicad_sch:MCU_IO_RS_RLEG:LOG-RS-RLEG-RX | 04_eight_actuator_bus_interfaces.kicad_sch:IF_RS_RLEG:LOG-RX
UART_RS-RLEG_TX,2,03_compute_motion_watchdog.kicad_sch:MCU_IO_RS_RLEG:LOG-RS-RLEG-TX | 04_eight_actuator_bus_interfaces.kicad_sch:IF_RS_RLEG:LOG-TX
UART_RS-WAIST_DIR,2,03_compute_motion_watchdog.kicad_sch:MCU_IO_RS_WAIST:LOG-RS-WAIST-DIR | 04_eight_actuator_bus_interfaces.kicad_sch:IF_RS_WAIST:LOG-DIR
UART_RS-WAIST_RX,2,03_compute_motion_watchdog.kicad_sch:MCU_IO_RS_WAIST:LOG-RS-WAIST-RX | 04_eight_actuator_bus_interfaces.kicad_sch:IF_RS_WAIST:LOG-RX
UART_RS-WAIST_TX,2,03_compute_motion_watchdog.kicad_sch:MCU_IO_RS_WAIST:LOG-RS-WAIST-TX | 04_eight_actuator_bus_interfaces.kicad_sch:IF_RS_WAIST:LOG-TX
UART_TTL-HEAD_DIR,2,03_compute_motion_watchdog.kicad_sch:MCU_IO_TTL_HEAD:LOG-TTL-HEAD-DIR | 04_eight_actuator_bus_interfaces.kicad_sch:IF_TTL_HEAD:LOG-DIR
UART_TTL-HEAD_RX,2,03_compute_motion_watchdog.kicad_sch:MCU_IO_TTL_HEAD:LOG-TTL-HEAD-RX | 04_eight_actuator_bus_interfaces.kicad_sch:IF_TTL_HEAD:LOG-RX
UART_TTL-HEAD_TX,2,03_compute_motion_watchdog.kicad_sch:MCU_IO_TTL_HEAD:LOG-TTL-HEAD-TX | 04_eight_actuator_bus_interfaces.kicad_sch:IF_TTL_HEAD:LOG-TX
UART_TTL-LDIST_DIR,2,03_compute_motion_watchdog.kicad_sch:MCU_IO_TTL_LDIST:LOG-TTL-LDIST-DIR | 04_eight_actuator_bus_interfaces.kicad_sch:IF_TTL_LDIST:LOG-DIR
UART_TTL-LDIST_RX,2,03_compute_motion_watchdog.kicad_sch:MCU_IO_TTL_LDIST:LOG-TTL-LDIST-RX | 04_eight_actuator_bus_interfaces.kicad_sch:IF_TTL_LDIST:LOG-RX
UART_TTL-LDIST_TX,2,03_compute_motion_watchdog.kicad_sch:MCU_IO_TTL_LDIST:LOG-TTL-LDIST-TX | 04_eight_actuator_bus_interfaces.kicad_sch:IF_TTL_LDIST:LOG-TX
UART_TTL-RDIST_DIR,2,03_compute_motion_watchdog.kicad_sch:MCU_IO_TTL_RDIST:LOG-TTL-RDIST-DIR | 04_eight_actuator_bus_interfaces.kicad_sch:IF_TTL_RDIST:LOG-DIR
UART_TTL-RDIST_RX,2,03_compute_motion_watchdog.kicad_sch:MCU_IO_TTL_RDIST:LOG-TTL-RDIST-RX | 04_eight_actuator_bus_interfaces.kicad_sch:IF_TTL_RDIST:LOG-RX
UART_TTL-RDIST_TX,2,03_compute_motion_watchdog.kicad_sch:MCU_IO_TTL_RDIST:LOG-TTL-RDIST-TX | 04_eight_actuator_bus_interfaces.kicad_sch:IF_TTL_RDIST:LOG-TX
WD_PERMIT_REQUEST,1,03_compute_motion_watchdog.kicad_sch:WD1:LOG-REQ
